views,cart_additions,total_spent,days_since_last_active,purchased
13,1,130.43,26,0
7,0,143.78,66,0
10,2,82.42,7,1
7,1,165.59,60,0
9,1,163.99,52,0
10,2,368.13,20,1
6,1,111.41,31,0
9,3,80.17,21,0
6,2,54.91,56,1
8,0,36.14,57,0
5,1,159.52,50,0
11,5,148.11,17,1
11,0,40.17,19,1
11,3,160.22,72,0
5,4,121.95,41,0
7,4,89.01,39,0
12,4,19.39,27,0
9,1,147.14,83,0
14,3,301.25,21,1
8,3,60.57,69,0
8,1,122.1,69,0
7,2,154.94,21,1
8,2,11.56,1,0
11,2,53.11,22,0
13,2,31.37,24,1
3,3,300.11,67,0
1,2,10.88,47,0
6,4,88.72,38,0
10,3,131.6,42,0
5,1,60.18,85,0
8,2,13.56,84,0
12,2,91.42,2,1
8,0,59.41,75,0
6,1,141.52,32,0
8,3,177.05,67,0
6,2,40.43,88,0
6,0,64.34,46,0
7,3,66.89,56,0
8,5,175.37,38,0
12,5,112.88,6,1
6,1,41.83,3,0
12,3,212.44,32,0
6,0,60.04,73,0
12,1,73.12,30,0
4,5,50.4,38,0
5,2,118.92,47,0
11,4,82.37,28,0
11,3,253.29,44,1
6,2,113.94,54,0
7,1,52.95,76,0
6,3,105.43,67,1
10,4,276.36,73,0
7,1,37.79,47,0
8,2,147.05,62,0
6,3,19.68,13,0
15,2,242.0,13,1
5,1,74.56,82,0
6,3,51.75,54,0
7,2,265.69,10,1
8,4,100.5,36,0
10,4,103.28,87,0
8,2,75.42,1,0
9,2,77.92,39,0
8,3,17.61,75,0
16,3,145.58,85,0
8,2,31.57,33,0
9,1,193.8,82,0
6,2,44.07,64,0
9,3,110.15,36,0
7,4,66.11,70,0
14,1,75.4,72,0
7,4,86.73,24,1
13,3,130.57,8,0
7,4,260.82,70,0
8,2,74.01,7,0
10,2,14.44,70,0
6,8,225.47,32,1
9,2,160.69,63,0
9,3,42.63,54,0
8,4,36.31,3,1
6,3,134.66,0,1
8,1,119.0,56,0
14,5,302.63,46,1
8,4,146.56,3,0
13,0,62.85,87,0
13,3,51.99,21,0
7,0,107.6,77,0
9,2,18.57,10,0
8,1,26.13,20,0
12,1,38.3,47,0
4,3,61.59,47,0
11,1,99.34,54,0
6,8,153.15,15,1
10,2,234.18,23,0
10,1,205.69,23,1
6,3,185.11,39,1
12,2,73.19,83,0
8,4,53.17,41,0
1,2,132.77,89,0
6,3,138.62,22,0
12,3,41.85,21,0
12,5,86.42,9,1
13,1,49.7,19,0
7,4,25.17,28,0
4,0,125.94,34,0
3,2,182.72,64,0
8,0,285.02,40,0
10,1,91.36,61,0
6,2,20.68,8,0
10,6,317.45,85,1
8,2,335.48,13,1
8,1,532.26,3,1
10,2,401.37,38,0
10,1,120.8,58,0
10,1,102.67,21,0
8,2,170.2,14,1
8,0,30.04,76,0
5,1,58.91,74,0
6,4,92.31,67,0
5,2,210.71,19,1
6,2,216.89,48,0
10,4,96.16,62,1
5,2,32.98,38,0
7,4,180.61,16,1
9,1,30.89,74,0
9,1,67.38,84,0
7,2,120.18,14,1
8,1,27.62,63,0
9,3,55.91,79,0
7,3,199.1,48,0
4,5,170.3,4,1
4,3,37.09,62,0
4,1,130.47,83,0
16,4,20.31,23,0
9,3,158.28,12,1
5,1,60.16,22,0
10,6,87.76,73,0
11,3,110.13,50,0
7,3,39.2,1,0
7,3,56.38,52,0
7,1,291.93,73,0
10,3,83.07,16,1
7,0,114.6,52,0
9,3,115.95,20,0
6,2,238.34,1,1
12,3,177.39,36,0
9,5,41.1,69,0
11,3,258.12,60,1
7,4,320.66,9,1
7,2,40.87,16,0
1,2,79.09,48,0
12,0,94.46,28,0
8,1,81.46,29,0
5,4,158.82,39,1
10,2,88.19,68,0
5,3,68.2,51,0
5,2,163.77,76,0
9,3,14.94,9,0
8,1,120.95,41,0
6,3,146.41,49,0
7,0,247.54,68,0
5,0,108.61,46,0
6,2,21.92,82,0
10,3,113.35,75,0
9,2,20.19,62,0
5,1,135.79,35,0
14,2,220.08,28,1
7,3,98.16,48,1
11,1,88.27,41,0
10,0,174.72,2,1
7,5,132.34,20,1
9,6,166.02,75,1
8,1,395.86,41,1
8,2,71.76,85,0
8,3,142.08,22,1
6,1,260.97,87,0
11,1,263.61,72,0
7,4,151.54,32,1
7,1,85.56,54,0
7,1,164.55,88,0
8,4,166.9,56,1
7,2,186.05,83,0
7,3,43.33,9,0
3,2,315.23,14,0
9,1,261.59,0,1
8,4,100.45,29,0
10,3,245.09,71,1
13,2,95.39,86,0
11,2,283.36,48,0
15,1,112.73,38,1
8,0,51.48,83,0
12,0,362.53,52,1
9,0,181.12,48,0
9,2,90.85,7,0
10,2,298.71,19,0
6,2,165.78,62,0
9,1,82.42,62,0
4,3,301.12,44,1
8,2,185.52,63,0
6,2,134.72,62,0
12,1,107.53,5,1
10,1,49.83,75,0
7,2,8.77,62,0
9,6,173.4,19,1
12,2,41.25,19,0
5,1,49.8,86,0
5,3,94.22,22,1
10,3,95.97,2,0
11,0,55.55,2,0
7,3,173.29,20,1
13,0,23.42,56,0
7,2,170.96,41,1
4,3,86.26,65,0
4,0,53.21,20,0
5,2,25.75,20,0
3,5,120.9,36,0
9,3,38.41,71,0
10,0,33.45,45,0
7,0,259.12,68,0
5,1,30.43,8,1
12,4,22.96,36,0
5,4,161.79,39,0
10,1,127.97,6,0
3,0,67.68,28,0
9,2,47.1,25,0
12,3,58.62,41,1
4,1,69.18,14,0
10,3,149.25,24,0
8,1,122.98,86,0
7,1,79.09,12,0
9,3,78.42,73,0
7,3,166.84,48,1
5,2,53.05,7,0
12,1,24.87,36,1
9,3,240.94,46,0
8,2,79.17,24,1
11,1,339.09,24,1
12,1,70.67,64,0
5,2,103.37,2,1
12,1,49.45,83,0
6,3,124.41,29,1
6,0,79.93,34,0
8,4,87.47,11,0
9,2,111.65,79,0
2,2,71.94,20,0
5,4,121.59,72,0
9,3,59.34,29,0
8,1,117.14,2,0
5,5,20.39,36,0
4,0,30.43,47,0
4,6,48.76,42,0
11,2,36.53,88,0
3,0,39.25,46,0
6,2,143.05,70,0
4,3,81.61,33,0
10,3,71.94,13,0
4,1,122.39,44,1
9,3,129.04,50,1
8,6,65.61,37,1
5,1,202.07,68,1
6,2,85.2,86,0
11,0,152.49,7,1
4,0,59.27,6,0
9,1,119.02,24,0
9,4,162.33,52,0
2,1,149.78,3,1
7,4,140.46,17,1
4,3,56.92,36,0
11,3,35.07,33,0
9,1,31.42,76,0
7,1,69.3,49,0
4,1,65.44,78,0
11,0,130.55,68,0
5,2,100.47,37,1
6,3,32.26,87,0
12,2,181.88,75,0
6,5,114.45,44,0
10,1,53.81,76,0
6,2,61.55,23,0
10,6,239.8,18,1
8,3,36.53,71,0
6,1,248.12,71,0
6,2,80.02,19,0
7,2,84.19,67,0
6,1,122.87,45,0
14,4,24.26,50,0
8,4,114.11,76,0
10,0,160.16,14,0
17,2,67.85,36,1
6,3,94.64,26,1
3,5,343.93,50,0
7,4,172.02,14,1
11,1,45.64,10,0
13,2,64.61,62,0
9,0,78.15,5,1
11,2,179.39,37,0
6,2,45.5,88,0
10,2,150.06,89,0
6,1,150.73,16,1
11,1,99.03,83,0
10,1,183.45,30,1
7,1,49.44,17,0
7,2,208.31,45,1
4,2,19.39,43,0
8,5,45.28,33,1
7,2,19.87,38,0
7,3,51.85,8,0
7,2,152.61,23,0
6,1,126.6,17,0
4,4,113.4,83,0
7,1,51.16,44,0
23,1,93.47,49,0
9,1,209.69,39,0
6,2,52.99,79,0
8,2,55.05,71,0
5,1,56.98,62,0
14,2,109.14,28,1
10,2,143.41,27,0
6,2,166.33,84,0
3,2,77.99,83,0
4,3,72.49,25,0
8,1,62.33,30,0
9,3,137.28,29,1
10,3,25.17,70,0
12,4,86.04,85,0
8,3,86.46,79,0
7,1,152.17,75,0
5,5,32.55,31,0
4,2,160.24,28,0
11,1,131.53,80,0
8,2,295.13,35,0
13,1,259.79,19,1
10,1,199.95,75,0
8,2,14.24,43,0
6,1,35.52,7,0
6,3,183.93,80,0
10,4,84.5,26,1
6,4,259.52,27,0
7,5,100.78,47,1
3,1,148.59,24,0
7,2,141.43,74,0
8,2,98.87,62,0
3,3,185.98,50,1
8,1,156.6,18,1
5,3,38.6,44,0
7,0,358.83,24,0
12,4,35.56,86,0
10,0,54.86,71,0
12,3,146.89,10,1
10,2,128.74,47,0
5,3,165.51,70,1
8,3,82.4,47,0
6,2,135.32,11,1
10,0,57.99,12,0
12,0,100.75,65,0
15,2,239.6,47,1
8,0,35.39,48,0
5,1,193.6,24,0
8,1,86.96,23,0
7,1,48.13,36,0
5,3,50.99,48,0
16,2,85.04,42,0
4,1,199.51,79,0
7,2,134.76,17,0
7,1,32.74,42,0
7,0,187.07,21,0
5,1,166.96,0,1
7,2,19.63,37,0
5,5,46.26,5,0
11,1,213.19,33,1
7,1,99.25,56,0
9,1,186.32,33,0
10,0,10.05,61,0
5,5,5.74,26,0
7,2,153.91,36,0
6,3,62.63,78,0
7,0,159.82,21,0
8,0,187.95,45,0
10,3,63.56,64,0
6,1,92.55,32,0
4,2,77.89,27,0
10,2,62.72,62,0
5,2,116.1,6,0
11,0,175.34,23,0
6,2,55.24,36,0
5,4,55.01,19,1
9,1,64.01,48,0
8,3,147.04,55,0
8,1,187.09,86,0
5,2,76.88,54,0
4,1,15.19,53,0
7,1,41.36,65,0
3,2,73.36,18,0
9,2,49.42,42,0
8,2,32.49,74,0
8,3,102.66,15,1
7,2,415.48,26,0
8,2,43.83,19,1
11,2,116.88,86,0
9,1,142.21,31,0
6,0,150.09,29,1
8,4,94.64,73,0
6,6,34.05,81,0
13,4,174.63,0,1
5,0,22.87,79,0
7,6,87.59,63,1
3,3,81.06,77,0
8,1,36.69,7,0
7,3,64.01,3,0
7,2,146.68,30,1
13,0,87.57,76,0
7,2,27.09,44,0
12,1,160.89,64,0
7,3,289.69,22,1
9,3,30.92,30,1
6,3,93.04,79,0
3,5,95.58,44,1
6,2,30.19,70,0
8,4,217.88,57,0
9,2,97.09,15,1
5,1,178.61,84,0
4,2,122.01,85,0
11,1,212.6,70,0
12,3,120.79,42,0
4,5,69.62,38,0
10,6,139.16,26,1
7,3,50.56,58,0
9,4,148.55,27,1
6,1,43.76,16,0
5,2,90.68,5,0
10,4,77.96,38,1
10,0,114.87,73,0
2,2,235.38,71,0
10,3,62.29,76,0
5,2,171.1,54,0
8,2,217.18,78,0
9,6,167.64,70,1
6,3,114.27,72,0
11,2,110.22,45,0
6,1,59.26,7,0
6,2,23.28,34,0
8,2,99.65,76,0
5,1,229.53,66,0
8,3,250.4,1,0
10,1,28.28,8,0
10,4,245.48,59,1
10,1,143.59,88,0
8,1,132.66,65,0
11,3,228.42,85,0
10,0,187.31,5,0
7,2,43.13,79,0
13,2,53.89,11,0
7,2,20.46,79,0
3,4,128.6,87,0
4,3,47.66,45,0
10,2,67.69,47,0
6,1,210.92,44,0
9,0,140.59,49,0
8,2,143.15,73,0
7,1,354.32,25,1
11,1,3.31,25,0
2,0,49.92,87,0
8,3,77.63,76,0
8,1,52.73,48,0
8,2,177.63,18,0
7,1,84.7,85,0
9,5,39.16,79,0
7,0,120.93,29,0
15,2,135.4,48,0
5,0,42.08,37,0
10,1,87.84,75,0
7,2,137.61,61,0
9,1,218.72,44,0
7,1,57.35,87,0
9,0,148.16,54,0
3,3,64.46,43,0
9,3,105.61,83,0
6,2,45.43,40,0
3,2,145.1,37,1
4,3,195.02,34,0
7,1,90.73,19,1
9,3,82.34,25,0
3,1,76.59,8,0
7,1,35.3,65,0
4,3,164.88,53,0
4,1,215.1,83,0
2,4,54.74,54,0
9,2,115.95,7,0
7,5,142.42,55,0
5,0,63.58,15,0
10,1,249.73,3,1
13,2,117.46,59,0
8,0,28.24,2,0
12,1,201.89,36,0
5,1,93.41,80,0
8,3,72.37,23,1
6,1,156.6,62,0
5,1,65.29,33,0
11,0,239.67,10,1
6,0,206.53,17,0
15,2,260.98,6,1
10,3,341.93,13,1
10,4,140.94,14,0
7,3,99.84,79,0
7,2,63.26,72,0
7,2,150.36,31,1
8,3,335.99,65,0
6,0,35.54,18,0
13,1,124.47,57,0
11,1,27.85,18,0
5,2,26.75,57,0
5,2,219.74,32,0
6,3,197.13,77,0
6,3,60.68,75,0
5,2,41.37,30,0
10,1,267.55,3,1
6,3,44.07,29,1
6,2,32.85,25,0
7,0,45.33,38,0
6,2,133.55,51,0
11,1,372.2,89,0
5,1,64.04,5,1
11,0,217.92,49,0
9,1,109.37,15,0
6,2,15.34,49,0
6,2,65.64,57,0
15,3,198.58,72,0
7,1,191.6,50,0
7,1,58.28,16,0
7,2,164.3,82,0
8,1,91.95,36,1
7,2,130.01,43,0
5,6,225.95,57,0
9,2,60.22,23,0
9,1,74.99,88,0
4,3,228.69,4,1
12,1,347.65,13,0
8,2,182.54,89,0
6,3,124.44,40,0
8,1,181.42,80,0
7,1,65.35,81,0
9,0,104.89,89,0
9,1,26.46,65,0
15,2,66.53,61,0
8,4,135.65,55,1
5,1,115.97,61,0
13,1,10.33,23,0
9,2,84.0,73,0
13,1,114.3,16,1
11,2,117.46,43,0
7,3,32.21,33,0
8,2,166.42,68,0
10,0,316.71,22,0
8,1,180.04,18,0
6,1,104.94,72,0
8,3,271.71,43,0
8,0,65.5,64,0
6,5,152.09,79,0
6,1,96.95,75,0
7,3,273.65,35,1
6,4,46.93,15,0
9,3,46.83,86,0
9,3,232.12,27,1
9,3,144.66,69,0
9,2,244.49,69,0
4,2,50.85,39,0
7,1,58.93,14,0
5,1,127.76,42,0
9,0,27.57,13,0
7,1,121.57,31,1
8,3,74.08,34,0
13,3,96.53,46,0
10,1,165.75,16,1
9,1,171.55,76,0
8,0,306.59,7,1
6,0,209.4,88,0
6,1,15.85,28,0
7,4,50.29,44,0
2,2,53.96,78,0
10,3,195.44,58,0
4,1,278.75,5,1
7,3,36.35,54,0
3,3,198.74,50,0
6,1,105.09,83,1
8,3,94.49,50,0
9,2,64.68,89,0
8,2,84.89,47,0
4,2,121.99,17,0
3,4,70.82,45,0
6,3,139.73,82,0
6,2,94.8,1,0
12,1,87.13,35,0
2,3,158.13,4,0
14,1,130.3,75,0
7,2,11.01,46,0
10,3,143.91,64,0
7,3,125.23,87,0
7,2,218.22,74,0
6,0,128.78,36,0
7,1,81.31,84,0
9,6,62.71,42,0
8,1,22.99,88,0
9,2,104.0,88,0
8,2,54.47,19,0
6,1,239.94,70,0
4,2,107.29,62,0
5,2,42.35,69,0
11,2,17.05,15,0
11,1,24.32,45,0
9,2,135.76,13,1
9,3,257.92,80,1
11,0,155.62,78,0
12,3,96.32,52,0
13,2,352.02,11,1
8,2,178.92,59,0
12,1,129.61,39,0
7,1,79.62,70,0
8,2,266.58,8,1
2,3,85.56,36,0
6,1,54.31,32,0
10,2,99.37,85,0
3,1,114.3,26,0
7,3,189.36,88,0
10,2,53.26,82,0
11,0,61.71,52,0
12,4,64.39,15,0
7,2,95.54,19,0
9,2,43.15,1,1
6,1,238.05,69,1
9,3,24.58,65,0
6,3,271.57,28,0
9,0,176.94,65,0
5,2,50.54,51,0
6,6,89.86,73,0
10,3,57.55,7,0
7,2,179.0,17,1
7,2,253.43,72,0
18,1,558.16,33,1
4,0,148.88,86,0
11,4,25.27,79,0
3,1,47.28,8,0
5,2,143.79,36,0
4,2,92.79,65,0
8,1,175.28,12,0
6,4,131.25,77,0
8,1,51.18,8,0
5,4,82.02,9,0
2,0,181.02,48,0
14,3,136.52,22,0
10,3,176.61,57,1
8,2,34.01,35,0
10,4,54.24,24,1
7,4,226.83,75,0
7,5,35.28,14,1
12,5,169.57,44,1
4,3,31.61,15,0
8,1,113.02,12,0
6,1,73.05,18,1
6,2,50.57,23,0
9,0,119.61,37,0
14,3,219.56,42,1
7,1,60.57,12,0
13,0,13.41,3,0
12,2,94.8,8,0
6,3,50.13,56,0
8,1,183.55,87,0
9,4,72.88,2,0
11,1,62.42,3,0
9,2,79.29,70,0
5,3,219.49,65,0
8,2,141.31,66,0
5,1,44.01,15,1
10,3,33.96,77,0
4,3,269.09,56,0
7,2,61.21,14,0
17,1,223.85,10,0
8,5,91.94,54,0
11,2,54.96,70,0
13,0,58.54,70,0
7,1,95.24,52,0
10,3,12.7,46,0
11,3,56.48,62,0
1,3,333.55,11,1
15,3,397.82,32,1
2,2,61.41,8,0
3,4,163.55,75,0
5,1,138.61,54,0
11,5,38.47,69,0
5,0,165.45,44,0
10,2,77.9,83,0
7,3,109.67,83,0
5,2,188.31,55,0
9,3,82.01,75,0
11,4,81.31,59,0
11,2,153.26,65,0
4,1,228.26,22,0
4,2,147.33,88,0
12,1,84.38,16,0
7,7,212.42,62,1
9,1,134.67,54,0
9,4,260.87,8,1
14,1,306.86,69,0
7,2,145.65,6,0
5,3,248.84,45,1
8,1,253.74,73,0
7,1,99.17,11,0
9,4,253.69,32,1
7,1,113.41,45,0
9,3,176.4,83,0
5,3,105.32,34,0
6,2,28.73,10,0
13,1,364.55,11,1
11,1,171.64,17,0
5,5,182.09,77,0
7,1,121.53,69,0
9,1,252.49,37,0
9,2,97.49,76,0
12,3,102.4,82,0
7,2,44.5,78,0
6,2,130.67,0,1
10,0,244.09,8,0
10,1,98.4,65,0
6,2,39.23,34,0
8,1,211.12,14,1
10,4,154.27,58,0
9,0,337.09,31,0
6,4,58.63,82,0
3,2,172.08,51,0
11,0,37.69,21,0
7,2,107.51,84,0
7,3,123.0,54,0
7,2,25.7,26,0
6,1,232.39,12,0
8,2,191.51,49,0
7,1,154.26,67,1
10,2,40.0,75,0
4,1,63.47,11,0
9,1,206.69,38,0
9,4,106.73,89,0
5,3,91.45,59,0
8,1,248.66,8,1
12,0,119.78,82,0
4,3,43.18,61,0
7,2,204.97,41,1
4,2,38.31,69,0
11,1,107.41,58,0
3,3,132.13,23,0
12,8,176.59,71,1
9,2,30.62,22,1
4,1,10.27,20,0
4,2,10.79,53,0
13,1,269.43,1,1
15,2,25.79,56,0
10,3,315.32,49,1
7,4,219.94,64,1
3,7,50.13,14,1
9,1,15.28,52,0
7,2,113.52,39,0
10,2,71.75,15,0
11,1,251.4,40,0
12,0,131.17,83,0
4,2,108.32,74,0
8,2,91.83,14,1
9,1,176.27,76,0
7,0,101.07,50,0
5,2,356.39,4,1
9,3,24.84,82,0
10,0,84.47,47,0
8,2,159.27,82,0
7,2,145.04,8,0
6,2,355.74,15,1
10,0,59.52,81,0
12,3,4.83,21,0
9,1,208.65,49,0
6,2,126.78,54,0
11,7,209.89,85,1
9,1,140.09,30,1
8,5,8.48,67,0
9,1,146.45,65,0
7,3,59.16,63,0
5,1,84.52,47,0
3,2,98.52,6,1
8,3,38.28,23,0
5,2,57.46,50,0
9,1,184.59,36,0
13,3,184.39,16,1
13,1,21.94,62,0
3,0,127.79,41,0
6,1,198.48,70,0
8,2,118.53,49,0
11,5,133.16,33,1
6,2,23.73,9,0
6,0,245.06,9,1
13,0,41.53,45,0
10,2,81.12,31,1
7,2,199.72,64,0
9,1,303.03,56,0
9,4,86.48,25,1
9,4,413.76,68,1
9,0,121.63,50,0
16,1,111.76,79,1
8,2,47.16,85,0
5,1,82.52,86,0
7,4,129.45,11,1
6,1,160.74,47,0
6,1,155.54,2,1
6,2,75.72,79,0
10,3,267.83,63,0
10,1,114.52,23,0
9,2,109.05,54,0
8,0,44.29,50,0
10,4,172.26,48,0
7,2,104.44,48,0
11,3,87.39,88,1
6,4,32.47,69,0
12,2,33.8,36,0
5,1,139.34,69,0
11,2,294.04,12,1
10,4,92.7,25,0
8,1,92.22,10,0
10,1,173.74,79,0
4,2,239.19,2,1
9,2,70.18,80,0
12,1,44.93,74,0
9,1,102.34,85,0
8,2,154.01,68,0
4,2,10.87,41,0
9,3,78.21,73,0
6,4,94.65,88,0
6,2,85.33,80,0
9,2,29.51,70,0
8,0,78.45,69,0
6,3,95.84,58,0
8,3,51.57,80,0
8,0,130.15,38,0
8,2,191.59,45,0
8,2,196.3,75,0
9,1,62.51,23,0
15,2,151.95,68,0
8,1,143.15,9,1
10,3,337.03,52,0
10,5,152.5,3,1
6,2,158.96,89,0
6,4,217.97,75,0
16,2,36.84,22,0
5,1,112.33,13,0
8,3,306.1,57,1
11,0,310.22,81,0
5,3,78.43,28,0
11,2,300.71,86,0
10,2,87.69,41,1
6,2,133.5,39,1
5,0,25.0,30,0
13,1,259.79,24,1
9,3,84.38,30,1
11,0,30.46,15,0
5,2,97.62,33,1
7,3,7.48,26,0
9,2,168.58,5,0
8,2,228.83,32,0
7,1,46.17,3,0
7,2,44.68,16,0
6,1,160.28,65,0
5,5,173.88,2,1
7,1,64.92,27,0
8,2,51.79,61,0
9,1,202.46,1,1
7,2,27.58,66,0
11,2,75.04,7,0
5,4,50.66,4,1
5,1,158.6,17,0
6,4,54.15,77,1
2,3,220.7,4,1
5,1,72.8,8,0
2,2,139.47,85,0
10,5,55.03,54,0
8,2,121.37,51,0
6,5,61.02,3,1
11,1,42.48,35,0
5,0,173.2,51,0
9,0,53.73,47,0
10,3,54.56,46,0
13,1,113.86,10,0
5,3,128.43,89,0
16,2,41.08,63,0
11,2,149.89,21,1
7,1,57.53,87,0
10,0,32.09,27,0
8,3,83.32,11,1
6,1,82.33,80,0
6,5,141.4,13,1
8,1,345.17,5,1
5,0,112.42,56,0
8,4,155.12,23,1
9,1,24.29,13,0
8,3,227.62,9,0
6,4,94.0,11,0
11,3,34.69,86,0
4,5,221.89,60,0
7,1,97.08,75,0
8,2,198.24,55,0
8,4,369.43,48,1
7,2,27.03,19,0
10,3,55.56,87,0
5,1,175.07,74,0
10,0,102.04,47,0
4,1,8.5,9,0
10,2,76.35,68,0
9,3,86.22,29,0
9,2,97.17,18,0
5,1,53.86,66,0
12,2,266.25,75,0
11,0,24.33,55,0
7,0,134.28,6,0
5,0,65.51,54,0
7,1,61.71,82,0
9,3,243.32,61,0
12,3,82.71,23,0
12,5,134.82,58,0
5,2,183.18,22,1
9,1,105.55,78,0
7,4,245.56,76,0
10,1,31.42,51,0
6,1,140.69,12,1
8,2,347.57,36,1
12,3,132.41,10,0
7,2,18.92,68,0
7,3,144.21,61,0
5,2,273.39,23,1
9,0,77.13,77,0
10,1,76.39,68,0
7,2,170.25,84,0
11,2,149.51,25,1
10,6,108.43,15,1
10,1,57.17,43,0
10,1,70.61,23,0
5,2,43.75,66,0
7,1,16.74,38,0
7,0,227.74,56,0
8,0,176.64,15,0
7,1,164.73,7,0
5,2,162.6,84,0
7,2,88.35,40,0
7,0,79.45,12,0
10,3,35.02,73,0
13,5,186.88,11,1
7,1,482.08,89,1
7,2,139.86,34,1
15,0,205.37,42,0
9,0,205.92,23,1
6,0,285.17,7,0
11,1,51.02,36,0
10,0,24.77,32,0
9,4,120.45,40,0
6,2,94.67,44,0
7,3,455.72,56,1
4,4,44.36,6,0
17,3,344.22,32,1
4,2,95.39,77,0
9,2,39.77,85,0
9,2,303.22,48,1
6,1,51.71,32,0
10,3,206.23,37,0
11,2,123.02,70,0
5,4,343.41,35,0
7,2,236.76,85,0
7,2,93.5,2,0
6,3,304.25,54,1
7,2,152.38,46,0
9,2,110.62,40,0
9,2,121.08,42,1
9,3,211.75,14,1
9,0,89.87,31,0
8,0,71.1,31,0
10,2,58.22,59,0
10,2,138.49,53,0
12,1,61.76,36,0
10,2,213.88,46,1
3,0,88.19,51,0
7,1,160.82,4,1
6,2,245.82,79,0
10,2,290.72,80,0
4,1,128.41,32,0
5,2,14.28,68,0
10,2,15.34,35,0
3,3,210.01,6,1
15,8,48.63,77,1
7,0,85.04,24,0
8,1,231.37,32,0
9,3,71.86,51,0
9,2,35.13,39,0
2,2,87.22,23,0
4,5,183.17,72,1
8,0,70.71,32,0
7,2,166.07,53,0
1,2,36.19,59,0
10,3,56.76,84,0
7,3,88.21,43,0
10,1,252.03,42,0
5,2,78.12,82,0
6,1,69.29,43,0
5,2,69.52,26,0
7,2,165.95,3,0
7,3,195.51,29,0
9,3,244.62,17,1
15,2,379.08,27,0
8,2,139.15,48,0
5,2,62.46,47,0
6,5,97.91,16,1
10,3,50.85,41,1
8,4,121.49,40,0
11,1,58.38,3,1
2,2,243.64,25,1
8,3,131.57,65,0
5,0,296.11,1,1
8,4,190.78,27,1
6,2,179.09,42,0
6,1,34.87,14,0
8,2,165.74,58,0
7,1,373.85,64,0
7,1,79.97,30,0
11,2,219.37,20,0
9,3,25.98,69,0
5,1,44.55,19,0
11,3,103.13,13,1
8,0,70.21,2,0
11,3,57.65,8,1
6,0,70.49,78,0
12,5,153.35,84,0
4,0,221.15,49,0
7,1,162.44,82,0
3,2,168.95,63,0
8,0,106.49,36,0
4,2,43.44,64,0
5,3,100.33,37,0
5,1,123.74,86,0
8,1,227.73,76,0
9,1,326.74,76,0
7,5,144.55,47,1
4,0,212.37,46,0
6,2,11.11,10,1
2,1,87.06,58,0
12,3,106.11,10,0
4,2,159.57,48,0
4,2,331.78,11,1
9,1,138.52,42,0
7,0,22.62,70,0
5,1,170.33,27,0
6,5,82.17,54,1
13,1,159.11,23,0
9,1,179.98,26,0
5,2,20.98,16,0
11,4,101.98,14,1
10,2,104.84,33,0
8,5,137.32,11,1
13,2,61.42,80,0
2,3,47.87,66,0
6,1,328.26,19,1
11,1,127.6,79,0
